feature,importance
categorical__legal_move_signature_ascension,0.05628511779747432
numeric__is_legal__pass,0.04799978307116283
numeric__is_legal__ascension,0.04426070080363948
numeric__single_legal_move_flag,0.038381307664202564
categorical__legal_move_signature_pass,0.0379820570766421
categorical__legal_move_signature_ascension | quick attack,0.03776131945344856
numeric__active_card_can_use__live_coal,0.036131694298422806
numeric__is_legal__quick_attack,0.035459487222360975
numeric__multi_legal_move_flag,0.035189324368894596
categorical__active_card_Charmander,0.03350559079955056
numeric__recomputed_legal_move_count,0.03149544076658746
numeric__is_legal__live_coal,0.03137223325201869
numeric__model_choice_required_flag,0.02859590886049902
categorical__legal_move_signature_live coal,0.027644348537506226
numeric__defending_damage,0.024354377997722814
numeric__damage_difference,0.02352161321162608
numeric__active_card_can_use__pass,0.021388478747695016
categorical__active_card_Eevee,0.019649155060483422
categorical__inactive_card_Eevee,0.019213352467578482
numeric__active_card_can_use__quick_attack,0.018999959740871784
