feature_name,feature_importance,importance_rank
categorical__legal_move_signature_ascension,0.05628511779747432,1
numeric__is_legal__pass,0.04799978307116283,2
numeric__is_legal__ascension,0.04426070080363948,3
numeric__single_legal_move_flag,0.038381307664202564,4
categorical__legal_move_signature_pass,0.0379820570766421,5
categorical__legal_move_signature_ascension | quick attack,0.03776131945344856,6
numeric__active_card_can_use__live_coal,0.036131694298422806,7
numeric__is_legal__quick_attack,0.035459487222360975,8
numeric__multi_legal_move_flag,0.035189324368894596,9
categorical__active_card_Charmander,0.03350559079955056,10
numeric__recomputed_legal_move_count,0.03149544076658746,11
numeric__is_legal__live_coal,0.03137223325201869,12
numeric__model_choice_required_flag,0.02859590886049902,13
categorical__legal_move_signature_live coal,0.027644348537506226,14
numeric__defending_damage,0.024354377997722814,15
numeric__damage_difference,0.02352161321162608,16
numeric__active_card_can_use__pass,0.021388478747695016,17
categorical__active_card_Eevee,0.019649155060483422,18
categorical__inactive_card_Eevee,0.019213352467578482,19
numeric__active_card_can_use__quick_attack,0.018999959740871784,20
numeric__is_legal__bind_down,0.018402984063034578,21
numeric__active_card_can_use__ascension,0.017935226528192735,22
categorical__side_mode_PRESERVE,0.01691480973098919,23
numeric__acting_damage,0.016881202100312645,24
numeric__active_card_can_use__bind_down,0.016829381388164137,25
numeric__acting_energy,0.016018063730452087,26
categorical__side_mode_FLIP,0.015371531433407517,27
categorical__active_card_Bulbasaur,0.015153633451258704,28
numeric__hand_size,0.014592530253661543,29
categorical__legal_move_signature_bind down,0.014102399014928041,30
